2023-06-22 06:46:19,684 | INFO | ulauncher: main() | Ulauncher version 5.15.2
2023-06-22 06:46:19,685 | INFO | ulauncher: main() | Extension API version 2.0.0
2023-06-22 06:46:19,689 | INFO | ulauncher: main() | GTK+ 3.24.38
2023-06-22 06:46:19,689 | INFO | ulauncher: main() | Is Wayland: False
2023-06-22 06:46:19,690 | INFO | ulauncher: main() | Wayland compatibility: off
2023-06-22 06:46:19,762 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2023-06-22 06:46:19,774 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2023-06-22 06:46:19,775 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2023-06-22 06:46:19,775 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2023-06-22 06:46:19,784 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2023-06-22 06:46:19,791 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2023-06-22 06:46:19,791 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2023-06-22 06:46:19,791 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2023-06-22 06:46:19,791 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2023-06-22 06:46:19,791 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2023-06-22 06:46:19,794 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-06-22 06:46:19,794 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-06-22 06:46:19,823 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2023-06-22 06:46:19,828 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2023-06-22 06:46:19,829 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2023-06-22 06:46:19,861 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary>space
2023-06-22 06:46:19,950 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 45 apps in cache
2023-06-22 06:46:19,960 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_txt.desktop": constructor returned NULL
2023-06-22 06:46:19,961 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_fb.desktop": constructor returned NULL
2023-06-22 06:46:19,980 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_ghostview.desktop": constructor returned NULL
2023-06-22 06:46:19,990 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_kimgio.desktop": constructor returned NULL
2023-06-22 06:46:19,993 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_epub.desktop": constructor returned NULL
